index,open_time,open,high,low,close,volume,close_time,datetime,ema50_m15,ema200_m15,ema50_h1,ema200_h1,ema50_h4,ema200_h4,pivot_high_left,pivot_high_right,pivot_low_left,pivot_low_right,pivot_high_strength,pivot_low_strength
50000,1771874700000,64481.03,64522.13,64440.79,64463.84,67.57987,1771874999999,2026-02-23 19:25:00,65778.411883,67003.723359,67249.152213,67888.301331,67656.718014,74221.818194,0,0,0,0,0,0
50000,1771875000000,64463.84,64545.55,64304.66,64331.3,205.47483,1771875299999,2026-02-23 19:30:00,65721.662397,66977.132082,67527.960041,67970.898415,67882.129336,74412.407966,1,0,17,0,0,0
50000,1771875300000,64331.3,64396.73,64048.71,64144.88,726.80992,1771875599999,2026-02-23 19:35:00,65659.827793,66948.950469,67335.03149,67918.077065,67644.607913,74220.890525,0,0,4888,0,0,0
50000,1771875600000,64144.88,64355.85,64127.14,64213.24,425.44869,1771875899999,2026-02-23 19:40:00,65603.09886,66921.729469,67422.140483,67943.596026,67628.321287,74214.613035,0,0,0,0,0,0
50000,1771875900000,64213.24,64317.04,64098.64,64165.77,132.93733,1771876199999,2026-02-23 19:45:00,65546.733023,66894.306987,67410.160703,67940.920215,67625.256722,74228.886749,0,0,1,0,0,0
50000,1771876200000,64165.77,64280.69,64127.91,64250.63,95.27757,1771876499999,2026-02-23 19:50:00,65495.905453,66868.001743,67577.962523,67991.057522,67821.603207,74398.96009,0,0,0,0,0,0
50000,2026-02-23 20:00:00 UTC,64295.11,64376.86,64229.09,64372.28,80.40013,2026-02-23 20:04:59 UTC,2026-02-23 20:00:00,65451.84171,66843.168691,67349.787851,67920.686981,67578.410453,74203.373974,3,0,0,0,0,0
50000,2026-02-23 20:10:00 UTC,64187.78,64205.05,63915.82,63961.55,269.26414,2026-02-23 20:14:59 UTC,2026-02-23 20:10:00,65393.398898,66814.495868,67098.722951,67841.796564,67545.000929,74194.091012,0,0,4893,0,0,0
50000,2026-02-23 20:20:00 UTC,64000.88,64174.86,63970.13,64075.14,279.93437,2026-02-23 20:24:59 UTC,2026-02-23 20:20:00,65341.70247,66787.238596,67112.63791,67852.527008,67802.078126,74394.235898,0,0,0,0,0,0
50000,2026-02-23 20:25:00 UTC,64075.14,64114.34,63950.8,64004.36,64.17071,2026-02-23 20:29:59 UTC,2026-02-23 20:25:00,65289.257668,66759.548262,67106.072682,67847.549363,67793.678779,74387.890607,0,0,1,0,0,0
50000,2026-02-23 20:30:00 UTC,64004.35,64272.91,63989.85,64249.4,68.20856,2026-02-23 20:34:59 UTC,2026-02-23 20:30:00,65248.478936,66734.571662,67114.794491,67849.191591,67793.261365,74386.466636,3,0,0,0,0,0
50000,2026-02-23 20:35:00 UTC,64249.4,64323.42,64182.0,64227.61,52.22805,2026-02-23 20:39:59 UTC,2026-02-23 20:35:00,65208.44486,66709.62677,67022.268386,67820.35576,67519.25191,74177.395064,4,0,0,0,0,0
50000,2026-02-23 20:40:00 UTC,64227.62,64269.42,64161.91,64269.42,46.66431,2026-02-23 20:44:59 UTC,2026-02-23 20:40:00,65171.620355,66685.346106,67017.913427,67816.088646,67515.568594,74173.848567,0,0,1,0,0,0
50000,2026-02-23 20:45:00 UTC,64269.42,64300.0,64238.05,64283.62,46.5621,2026-02-23 20:49:59 UTC,2026-02-23 20:45:00,65136.796812,66661.448333,67010.013232,67810.791529,67764.000269,74356.981478,1,0,0,0,0,0
50000,2026-02-23 20:50:00 UTC,64283.62,64413.46,64238.05,64403.85,74.75621,2026-02-23 20:54:59 UTC,2026-02-23 20:50:00,65108.0538,66638.984668,67018.61622,67818.324822,67900.420895,74461.034406,12,0,0,0,0,0
50000,2026-02-23 20:55:00 UTC,64403.85,64487.94,64355.42,64473.14,92.00705,2026-02-23 20:59:59 UTC,2026-02-23 20:55:00,65083.155219,66617.433975,67422.140483,67943.596026,67905.882503,74466.442308,13,0,0,0,0,0
50000,2026-02-23 21:00:00 UTC,64473.14,64675.48,64459.44,64645.08,148.4705,2026-02-23 21:04:59 UTC,2026-02-23 21:00:00,65065.975799,66597.808562,67099.292294,67844.091551,67893.49632,74459.167493,17,0,0,0,0,0
50000,2026-02-23 21:05:00 UTC,64645.08,64704.36,64505.18,64517.21,52.78433,2026-02-23 21:09:59 UTC,2026-02-23 21:05:00,65044.455572,66577.106089,67577.962523,67991.057522,67910.491332,74461.978669,18,0,0,0,0,0
50000,2026-02-23 21:10:00 UTC,64517.2,64627.41,64517.2,64599.99,34.20656,2026-02-23 21:14:59 UTC,2026-02-23 21:10:00,65027.025549,66557.433292,67028.50359,67819.961447,67914.588426,74466.919409,0,0,0,0,0,0
